--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
CMIP6
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Version 2.2
Date modified: 2022-06-15
Contact: Mark D. Zelinka [zelinka1@llnl.gov]
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
MODEL               VARIANT        ECS      ERF2x       PL       PL*        LR       LR*        WV        RH       ALB       CLD      SWCLD     LWCLD      NET       ERR    
CNRM-CM6-1-HR       r1i1p1f2       4.33      3.96     -3.33     -1.93     -0.56     -0.07      1.92      0.02      0.40      0.54     -0.10      0.64     -0.92      0.12   
CNRM-ESM2-1         r1i1p1f2       4.79      2.97     -3.29     -1.91     -0.47     -0.04      1.83      0.01      0.51      0.56      0.03      0.53     -0.62      0.24   
CanESM5             r1i1p1f1       5.64      3.68     -3.33     -1.94     -0.61     -0.10      1.97      0.07      0.47      0.80     -0.02      0.82     -0.65      0.03   
E3SM-1-0            r1i1p1f1       5.31      3.33     -3.33     -1.92     -0.54     -0.10      1.86      0.01      0.34      0.94      0.75      0.18     -0.63      0.11   
EC-Earth3           r8i1p1f1       4.26      3.22     -3.24     -1.88     -0.16      0.06      1.68      0.11      0.60      0.31      0.05      0.26     -0.76      0.05   
EC-Earth3-AerChem   r1i1p1f1       3.87      3.63     -3.24     -1.87     -0.27      0.01      1.74      0.08      0.59      0.20     -0.09      0.28     -0.94      0.06   
EC-Earth3-CC        r1i1p1f1       4.23      3.25     -3.23     -1.87     -0.25      0.03      1.72      0.09      0.63      0.29      0.06      0.23     -0.77      0.07   
EC-Earth3-Veg       r1i1p1f1       4.33      3.37     -3.26     -1.89     -0.20      0.04      1.73      0.11      0.60      0.29      0.02      0.27     -0.78      0.07   
EC-Earth3-Veg-LR    r1i1p1f1       4.23      3.25     -3.26     -1.88     -0.29      0.01      1.72      0.05      0.56      0.41      0.12      0.28     -0.77      0.09   
FGOALS-f3-L         r1i1p1f1       2.98      4.17     -3.20     -1.88     -0.37      0.01      1.65     -0.05      0.40     -0.01     -0.21      0.20     -1.40      0.14   
FGOALS-g3           r1i1p1f1       2.87      3.58     -3.29     -1.93     -0.37      0.03      1.90      0.14      0.57     -0.01     -0.73      0.72     -1.25     -0.06   
GFDL-CM4            r1i1p1f1       3.89      3.19     -3.24     -1.89     -0.53     -0.07      1.84      0.03      0.55      0.56      0.03      0.53     -0.82     -0.00   
GFDL-ESM4           r1i1p1f1       2.65      3.77     -3.31     -1.90     -0.68     -0.13      1.94     -0.01      0.37      0.44     -0.15      0.59     -1.42     -0.19   
GISS-E2-1-G         r1i1p1f1       2.71      3.95     -3.26     -1.87     -1.03     -0.21      2.19     -0.01      0.27      0.00     -0.63      0.64     -1.46      0.37   
GISS-E2-1-H         r1i1p1f1       3.12      3.53     -3.22     -1.89     -0.55     -0.03      1.91      0.07      0.48     -0.03     -0.53      0.50     -1.13      0.27   
GISS-E2-2-G         r1i1p1f1       2.43      3.65     -3.24     -1.85     -0.84     -0.15      2.11      0.03      0.39     -0.09     -0.88      0.79     -1.51      0.17   
GISS-E2-2-H         r1i1p1f1       2.68      3.42     -3.19     -1.87     -0.43     -0.02      1.73      0.00      0.46     -0.04     -0.62      0.58     -1.28      0.20   
HadGEM3-GC31-LL     r1i1p1f3       5.55      3.49     -3.27     -1.91     -0.41     -0.03      1.68     -0.07      0.41      0.79      0.98     -0.19     -0.63      0.18   
HadGEM3-GC31-MM     r1i1p1f3       5.44      3.57     -3.29     -1.91     -0.44     -0.05      1.69     -0.08      0.35      0.87      1.03     -0.17     -0.66      0.17   
IITM-ESM            r1i1p1f1       2.37      4.51     -3.28     -1.91     -0.74     -0.14      1.99      0.02      0.29     -0.08     -0.69      0.62     -1.91     -0.09   
INM-CM4-8           r1i1p1f1       1.83      2.70     -3.29     -1.95     -0.09      0.10      1.61      0.08      0.40     -0.13     -0.19      0.06     -1.48      0.02   
INM-CM5-0           r1i1p1f1       1.92      2.92     -3.29     -1.95     -0.11      0.09      1.58      0.03      0.45     -0.11     -0.11     -0.00     -1.52     -0.03   
IPSL-CM5A2-INCA     r1i1p1f1       3.82      3.07     -3.31     -1.90     -0.73     -0.11      2.06      0.04      0.36      0.98      0.50      0.48     -0.81     -0.17   
IPSL-CM6A-LR        r1i1p1f1       4.70      3.58     -3.28     -1.91     -0.50     -0.03      1.96      0.10      0.48      0.38      0.14      0.23     -0.76      0.21   
IPSL-CM6A-LR-INCA   r1i1p1f1       4.13      3.15     -3.28     -1.90     -0.52     -0.04      1.93      0.07      0.49      0.43      0.19      0.24     -0.76      0.19   
KACE-1-0-G          r1i1p1f1       4.75      3.41     -3.30     -1.91     -0.51     -0.08      1.76     -0.07      0.36      0.80      0.98     -0.19     -0.72      0.18   
MIROC-ES2L          r1i1p1f2       2.66      4.11     -3.31     -1.91     -0.70     -0.11      1.98     -0.01      0.44     -0.02     -0.35      0.33     -1.54      0.07   
MIROC6              r1i1p1f1       2.60      3.65     -3.34     -1.89     -0.64     -0.10      2.03      0.05      0.51      0.12     -0.13      0.26     -1.40     -0.10   
MPI-ESM-1-2-HAM     r1i1p1f1       2.95      4.16     -3.16     -1.85     -0.66     -0.09      1.92      0.04      0.39     -0.23     -0.62      0.39     -1.41      0.33   
MPI-ESM1-2-HR       r1i1p1f1       2.98      3.65     -3.20     -1.86     -0.53     -0.06      1.83      0.03      0.42      0.20     -0.41      0.61     -1.22      0.06   
MPI-ESM1-2-LR       r1i1p1f1       3.03      4.22     -3.16     -1.84     -0.76     -0.13      1.97      0.02      0.39      0.12     -0.68      0.79     -1.39      0.05   
MRI-ESM2-0          r1i1p1f1       3.13      3.43     -3.27     -1.92     -0.48     -0.03      1.71     -0.08      0.60      0.38      0.12      0.26     -1.10     -0.04   
NESM3               r1i1p1f1       4.76      3.73     -3.15     -1.87     -0.55     -0.02      1.83      0.02      0.54      0.38     -0.15      0.53     -0.78      0.17   
NorCPM1             r1i1p1f1       3.03      3.34     -3.23     -1.93     -0.18      0.09      1.56     -0.00      0.50      0.23     -0.01      0.24     -1.10      0.01   
NorESM2-LM          r1i1p1f1       2.56      3.43     -3.35     -1.90     -0.67     -0.13      2.03      0.03      0.40      0.36      0.21      0.15     -1.34     -0.10   
NorESM2-MM          r1i1p1f1       2.49      3.73     -3.36     -1.90     -0.75     -0.16      2.11      0.06      0.34      0.43      0.30      0.14     -1.50     -0.27   
SAM0-UNICON         r1i1p1f1       3.72      3.89     -3.33     -1.93     -0.58     -0.08      1.77     -0.13      0.42      0.69      0.89     -0.20     -1.04     -0.01   
TaiESM1             r1i1p1f1       4.36      3.85     -3.31     -1.94     -0.43     -0.02      1.77     -0.02      0.43      0.64      0.55      0.09     -0.88      0.02   
UKESM1-0-LL         r1i1p1f2       5.36      3.61     -3.26     -1.90     -0.35     -0.00      1.60     -0.10      0.53      0.81      0.93     -0.12     -0.67     -0.00   
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Average                            3.78      3.52     -3.28     -1.90     -0.49     -0.04      1.82      0.01      0.44      0.42      0.12      0.29     -1.02      0.06   
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1-sigma                            1.06      0.39      0.05      0.03      0.18      0.06      0.15      0.06      0.09      0.37      0.54      0.27      0.35      0.13   
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
